@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute class {0,1}
@data
12.0,20.0731,1335.52,7.0,0
3.0,10.1775,3.21894,29.0,0
6.0,10.0229,4.47014,29.0,0
3.0,10.0163,2.32495,29.0,0
5.0,13.3485,4.15321,35.0,0
4.0,10.0134,3.07556,2.0,0
3.0,11.7693,3.09602,20.0,0
6.0,10.0588,5.39683,33.0,0
5.0,10.0151,3.46586,31.0,0
3.0,10.2337,3.98538,33.0,0
4.0,12.0769,4.83313,13.0,0
11.0,11.9343,5.74931,27.0,0
4.0,10.9608,7.63429,17.0,0
3.0,10.1414,9.52435,13.0,0
3.0,10.0469,9.75892,13.0,0
3.0,10.5902,9.81138,13.0,0
5.0,10.097,15.1893,29.0,0
7.0,10.2549,18.2831,16.0,0
5.0,12.1827,29.4524,33.0,0
5.0,10.3333,24.9778,17.0,0
5.0,10.3484,27.6603,17.0,0
5.0,10.8695,31.6415,17.0,0
5.0,10.3717,37.7663,22.0,0
7.0,0.0,766.625,7.0,0
6.0,11.39,772.083,14.0,0
4.0,11.4459,790.09,14.0,0
2.0,12.5808,815.718,14.0,0
2.0,10.3939,817.166,14.0,0
3.0,12.9876,822.984,14.0,0
3.0,10.3507,820.07,14.0,0
3.0,14.9438,821.525,14.0,0
4.0,12.6429,827.374,14.0,0
4.0,11.2602,830.314,14.0,0
5.0,13.8728,833.264,14.0,0
5.0,12.6532,834.743,14.0,0
5.0,10.4605,840.685,14.0,0
7.0,11.5972,861.819,14.0,0
5.0,10.2855,4.06919,10.0,0
3.0,10.4254,3.11648,13.0,0
4.0,17.0584,2.76988,12.0,0
2.0,10.764,2.10381,13.0,0
4.0,10.1186,2.5874,9.0,0
2.0,10.3448,2.66842,12.0,0
2.0,11.9931,2.70898,12.0,0
5.0,10.002,3.6728,40.0,0
4.0,10.0221,3.92265,12.0,0
4.0,10.0877,4.23743,13.0,0
12.0,19.65,200.83,2.0,0
6.0,0.0,180.206,6.0,0
12.0,17.1027,270.139,7.0,0
12.0,17.4185,143.535,40.0,0
10.0,41.0848,11.9892,14.0,0
2.0,10.4456,2.20423,42.0,0
7.0,22.7456,2.10381,10.0,0
2.0,10.2124,2.24444,42.0,0
3.0,10.02,2.3854,42.0,0
2.0,10.2444,2.44592,42.0,0
2.0,10.1134,2.48631,42.0,0
2.0,10.3946,2.64815,42.0,0
2.0,10.2459,2.70898,42.0,0
2.0,10.2386,2.93266,42.0,0
8.0,17.6435,5.61661,9.0,0
6.0,10.0799,7.39661,42.0,0
