@relation data
@attribute Feature_0 numeric
@attribute Feature_1 numeric
@attribute Feature_2 numeric
@attribute Feature_3 numeric
@attribute Feature_4 numeric
@attribute Feature_5 numeric
@attribute Feature_6 numeric
@attribute Feature_7 numeric
@attribute Feature_8 numeric
@attribute Feature_9 numeric
@attribute Feature_10 numeric
@attribute Feature_11 numeric
@attribute Feature_12 numeric
@attribute Feature_13 numeric
@attribute Feature_14 numeric
@attribute class {0,1}
@data
30.1858,12.0,1.0,120.0,10.3761,1.0,1.0,4.0,5.0,5.0,6.0,11.0,12.0,13.0,26.0,0
413.545,12.0,1.0,1084.0,10.5648,3.0,4.0,5.0,5.0,6.0,6.0,11.0,12.0,13.0,26.0,0
0.968414,11.0,2.0,1304.0,10.6698,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,15.0,26.0,0
21.8564,12.0,1.0,2414.0,10.7888,1.0,1.0,1.0,1.0,1.0,1.0,3.0,7.0,13.0,30.0,0
1.64383,12.0,9.0,4556.0,14.7035,2.0,2.0,2.0,4.0,4.0,4.0,9.0,11.0,15.0,27.0,0
16.3164,12.0,1.0,2706.0,11.1651,2.0,2.0,2.0,4.0,4.0,4.0,9.0,11.0,15.0,27.0,0
941.728,12.0,1.0,430.0,10.5378,1.0,1.0,1.0,1.0,1.0,1.0,6.0,11.0,13.0,30.0,0
0.0197462,5.0,15.0,15.0,10.9949,2.0,2.0,2.0,4.0,4.0,6.0,9.0,12.0,17.0,24.0,0
0.375194,10.0,2.0,500.0,11.2153,2.0,2.0,2.0,4.0,4.0,6.0,9.0,12.0,17.0,24.0,0
1.4447,12.0,1.0,7130.0,10.6058,2.0,2.0,2.0,4.0,4.0,4.0,9.0,12.0,17.0,24.0,0
1.82347,10.0,2.0,556.0,10.7243,2.0,2.0,2.0,4.0,4.0,6.0,9.0,11.0,15.0,27.0,0
9.57626,12.0,1.0,224.0,10.4982,2.0,2.0,2.0,4.0,4.0,4.0,9.0,12.0,17.0,24.0,0
12.4574,12.0,1.0,442.0,10.3843,2.0,2.0,2.0,4.0,4.0,6.0,9.0,11.0,15.0,27.0,0
16.0036,12.0,1.0,68.0,10.0552,1.0,1.0,1.0,1.0,1.0,2.0,7.0,15.0,17.0,23.0,0
5.97193,12.0,1.0,7896.0,12.1381,1.0,1.0,1.0,1.0,2.0,3.0,6.0,11.0,18.0,27.0,0
0.829836,10.0,6.0,1345.0,13.3492,2.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,15.0,27.0,0
0.849625,12.0,1.0,1224.0,10.4282,1.0,1.0,1.0,3.0,3.0,4.0,6.0,9.0,15.0,30.0,0
3.5485,12.0,1.0,5598.0,12.1879,1.0,1.0,1.0,1.0,3.0,5.0,7.0,12.0,19.0,27.0,0
14.8253,12.0,1.0,1022.0,10.0659,2.0,2.0,2.0,3.0,4.0,5.0,7.0,8.0,15.0,27.0,0
23.6512,12.0,1.0,798.0,11.0012,1.0,1.0,1.0,1.0,4.0,5.0,6.0,8.0,19.0,27.0,0
1.70367,12.0,1.0,3008.0,11.3252,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,16.0,30.0,0
0.0197462,3.0,1.0,1.0,10.156,1.0,2.0,2.0,2.0,2.0,3.0,3.0,9.0,18.0,31.0,0
0.059238,4.0,2.0,1.0,10.7413,1.0,2.0,2.0,2.0,2.0,3.0,4.0,9.0,18.0,31.0,0
0.059238,5.0,1.0,1.0,10.3763,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,16.0,33.0,0
0.0197462,5.0,1.0,1.0,10.3184,1.0,1.0,1.0,1.0,1.0,5.0,6.0,12.0,17.0,31.0,0
0.0394922,5.0,1.0,1.0,10.1962,1.0,1.0,4.0,4.0,4.0,5.0,6.0,11.0,19.0,30.0,0
0.118475,6.0,8.0,13.0,12.6118,3.0,3.0,4.0,4.0,4.0,5.0,6.0,11.0,20.0,31.0,0
0.493721,7.0,2.0,1.0,10.3166,3.0,3.0,4.0,4.0,4.0,5.0,6.0,11.0,20.0,31.0,0
24.4019,11.0,1.0,291.0,10.5379,3.0,3.0,4.0,4.0,4.0,5.0,6.0,11.0,20.0,31.0,0
0.0197462,7.0,745.0,152.0,26.2371,1.0,1.0,1.0,1.0,4.0,4.0,9.0,13.0,22.0,47.0,0
6.44559,12.0,1.0,1990.0,11.4749,3.0,3.0,3.0,3.0,4.0,4.0,5.0,14.0,21.0,49.0,0
220.649,12.0,3.0,566.0,11.9738,3.0,3.0,3.0,3.0,4.0,4.0,5.0,14.0,21.0,49.0,0
62.8736,12.0,2675.0,5292.0,24.1918,3.0,3.0,3.0,3.0,4.0,4.0,8.0,15.0,21.0,49.0,0
14.5317,12.0,1.0,466.0,10.5501,1.0,1.0,1.0,1.0,4.0,4.0,10.0,14.0,20.0,51.0,0
1.48449,12.0,1.0,3246.0,12.456,1.0,1.0,1.0,3.0,3.0,6.0,10.0,14.0,35.0,76.0,0
15.2226,12.0,1.0,5674.0,11.3959,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
23.1461,12.0,3.0,2720.0,11.3294,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
54.0274,12.0,1.0,1538.0,11.5655,3.0,3.0,3.0,3.0,4.0,5.0,8.0,14.0,31.0,69.0,0
0.118475,11.0,220.0,2689.0,16.0291,2.0,2.0,3.0,3.0,3.0,5.0,7.0,22.0,40.0,73.0,0
20.0494,12.0,1.0,2.0,10.066,2.0,2.0,2.0,3.0,3.0,6.0,9.0,11.0,40.0,76.0,0
215.997,12.0,1.0,236.0,10.2811,2.0,2.0,2.0,3.0,3.0,5.0,10.0,12.0,41.0,76.0,0
6.90496,11.0,1.0,28.0,10.195,1.0,1.0,1.0,1.0,1.0,1.0,15.0,31.0,58.0,73.0,0
7.06775,12.0,1.0,5994.0,11.4401,1.0,2.0,3.0,3.0,3.0,4.0,7.0,22.0,40.0,73.0,0
7.06775,12.0,1.0,88.0,0.0,2.0,3.0,3.0,3.0,3.0,5.0,7.0,22.0,40.0,73.0,0
0.0197462,7.0,950.0,16.0,23.3785,9.0,10.0,11.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
0.0197462,5.0,2.0,1.0,10.0468,1.0,2.0,4.0,11.0,11.0,11.0,25.0,31.0,63.0,71.0,0
0.0197462,4.0,1.0,1.0,11.2032,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
0.0987291,5.0,1.0,1.0,10.3521,9.0,10.0,11.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
9.29219,7.0,10.0,20.0,10.4409,9.0,10.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
465.734,12.0,17.0,4414.0,12.4412,2.0,8.0,11.0,11.0,11.0,16.0,25.0,32.0,63.0,68.0,0
0.572762,10.0,6167.0,3689.0,27.6649,9.0,9.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
0.0197462,6.0,655.0,33.0,31.5518,3.0,6.0,11.0,13.0,13.0,23.0,27.0,54.0,59.0,68.0,0
0.059238,4.0,8.0,1.0,10.1702,5.0,6.0,8.0,11.0,13.0,24.0,27.0,51.0,60.0,68.0,0
0.0197462,4.0,1.0,1.0,11.0211,9.0,9.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
0.0987291,4.0,1.0,1.0,10.2111,5.0,8.0,9.0,11.0,13.0,24.0,27.0,51.0,60.0,68.0,0
0.948609,12.0,7.0,2316.0,18.2464,2.0,5.0,8.0,13.0,14.0,14.0,30.0,54.0,59.0,67.0,0
0.276446,4.0,1.0,1.0,10.0547,5.0,6.0,8.0,11.0,13.0,24.0,26.0,51.0,60.0,68.0,0
1.4447,6.0,1.0,1.0,10.0654,8.0,9.0,10.0,11.0,11.0,19.0,25.0,34.0,63.0,68.0,0
1.58404,5.0,3.0,1.0,10.0651,3.0,7.0,11.0,13.0,13.0,23.0,27.0,54.0,59.0,68.0,0
